date,ticker,baseline_selected,u1_selected,change_type
2018-04-30,1605,True,True,UNCHANGED
2018-04-30,1701,True,True,UNCHANGED
2018-04-30,1788,True,True,UNCHANGED
2018-04-30,2108,True,True,UNCHANGED
2018-04-30,2534,True,True,UNCHANGED
2018-04-30,2546,True,True,UNCHANGED
2018-04-30,2596,True,True,UNCHANGED
2018-04-30,2608,True,True,UNCHANGED
2018-04-30,2618,True,True,UNCHANGED
2018-04-30,2823,True,True,UNCHANGED
2018-04-30,2834,True,True,UNCHANGED
2018-04-30,2883,True,True,UNCHANGED
2018-04-30,2885,True,True,UNCHANGED
2018-04-30,2888,True,True,UNCHANGED
2018-04-30,3217,True,True,UNCHANGED
2018-04-30,3265,True,True,UNCHANGED
2018-04-30,3388,True,True,UNCHANGED
2018-04-30,3402,True,True,UNCHANGED
2018-04-30,3532,True,True,UNCHANGED
2018-04-30,4105,True,True,UNCHANGED
2018-04-30,4138,True,True,UNCHANGED
2018-04-30,4417,True,True,UNCHANGED
2018-04-30,4953,True,True,UNCHANGED
2018-04-30,5299,True,True,UNCHANGED
2018-04-30,5410,True,True,UNCHANGED
2018-04-30,5474,True,True,UNCHANGED
2018-04-30,5525,True,True,UNCHANGED
2018-04-30,5534,True,True,UNCHANGED
2018-04-30,5607,True,True,UNCHANGED
2018-04-30,6005,True,True,UNCHANGED
2018-04-30,6023,True,True,UNCHANGED
2018-04-30,6026,True,True,UNCHANGED
2018-04-30,6177,True,True,UNCHANGED
2018-04-30,6242,True,True,UNCHANGED
2018-04-30,6294,True,True,UNCHANGED
2018-04-30,6505,True,True,UNCHANGED
2018-04-30,6532,True,True,UNCHANGED
2018-04-30,6603,True,True,UNCHANGED
2018-04-30,6803,True,True,UNCHANGED
2018-04-30,8112,True,True,UNCHANGED
2018-04-30,8437,True,True,UNCHANGED
2018-04-30,8446,True,True,UNCHANGED
2018-04-30,8926,True,True,UNCHANGED
2018-04-30,9927,True,True,UNCHANGED
2018-04-30,9945,True,True,UNCHANGED
2018-05-31,1102,True,True,UNCHANGED
2018-05-31,1220,True,True,UNCHANGED
2018-05-31,1409,True,True,UNCHANGED
2018-05-31,1437,True,True,UNCHANGED
2018-05-31,1605,True,True,UNCHANGED
2018-05-31,1704,True,True,UNCHANGED
2018-05-31,2104,True,True,UNCHANGED
2018-05-31,2221,True,True,UNCHANGED
2018-05-31,2347,True,True,UNCHANGED
2018-05-31,2493,True,True,UNCHANGED
2018-05-31,2534,True,True,UNCHANGED
2018-05-31,2596,True,True,UNCHANGED
2018-05-31,2618,True,True,UNCHANGED
2018-05-31,2856,True,True,UNCHANGED
2018-05-31,2881,True,True,UNCHANGED
2018-05-31,2903,True,True,UNCHANGED
2018-05-31,3005,True,True,UNCHANGED
2018-05-31,3114,True,True,UNCHANGED
2018-05-31,3218,True,True,UNCHANGED
2018-05-31,3388,True,True,UNCHANGED
2018-05-31,3596,True,True,UNCHANGED
2018-05-31,3628,True,True,UNCHANGED
2018-05-31,4561,True,True,UNCHANGED
2018-05-31,4728,True,True,UNCHANGED
2018-05-31,4764,True,True,UNCHANGED
2018-05-31,4939,True,True,UNCHANGED
2018-05-31,5213,True,True,UNCHANGED
2018-05-31,5353,True,True,UNCHANGED
2018-05-31,5531,True,True,UNCHANGED
2018-05-31,6005,True,True,UNCHANGED
2018-05-31,6212,True,True,UNCHANGED
2018-05-31,6242,True,True,UNCHANGED
2018-05-31,6266,True,True,UNCHANGED
2018-05-31,6532,True,True,UNCHANGED
2018-05-31,6803,True,True,UNCHANGED
2018-05-31,8016,True,True,UNCHANGED
2018-05-31,8415,True,True,UNCHANGED
2018-05-31,9945,True,True,UNCHANGED
2018-06-29,1109,True,True,UNCHANGED
2018-06-29,1220,True,True,UNCHANGED
2018-06-29,1303,True,True,UNCHANGED
2018-06-29,1309,True,True,UNCHANGED
2018-06-29,1410,True,True,UNCHANGED
2018-06-29,1704,True,True,UNCHANGED
2018-06-29,1737,True,True,UNCHANGED
2018-06-29,2104,True,True,UNCHANGED
2018-06-29,2347,True,True,UNCHANGED
2018-06-29,2480,True,True,UNCHANGED
2018-06-29,2534,True,True,UNCHANGED
2018-06-29,2596,True,True,UNCHANGED
2018-06-29,2608,True,True,UNCHANGED
2018-06-29,2617,True,True,UNCHANGED
2018-06-29,2640,True,True,UNCHANGED
2018-06-29,2823,True,True,UNCHANGED
2018-06-29,2851,True,True,UNCHANGED
2018-06-29,2856,True,True,UNCHANGED
2018-06-29,2903,True,True,UNCHANGED
2018-06-29,2929,True,True,UNCHANGED
2018-06-29,3029,True,True,UNCHANGED
2018-06-29,3388,True,True,UNCHANGED
2018-06-29,3540,True,True,UNCHANGED
2018-06-29,4160,True,True,UNCHANGED
2018-06-29,4540,True,True,UNCHANGED
2018-06-29,4564,True,True,UNCHANGED
2018-06-29,4722,True,True,UNCHANGED
2018-06-29,4736,True,True,UNCHANGED
2018-06-29,5213,True,True,UNCHANGED
2018-06-29,5289,True,True,UNCHANGED
2018-06-29,5306,True,True,UNCHANGED
2018-06-29,5353,True,True,UNCHANGED
2018-06-29,5410,True,True,UNCHANGED
2018-06-29,5474,True,True,UNCHANGED
2018-06-29,5525,True,True,UNCHANGED
2018-06-29,5533,True,True,UNCHANGED
2018-06-29,5534,True,True,UNCHANGED
2018-06-29,6112,True,True,UNCHANGED
2018-06-29,6163,True,True,UNCHANGED
2018-06-29,6196,True,True,UNCHANGED
2018-06-29,6221,True,True,UNCHANGED
2018-06-29,6491,True,True,UNCHANGED
2018-06-29,6532,True,True,UNCHANGED
2018-06-29,6548,True,True,UNCHANGED
2018-06-29,8112,True,True,UNCHANGED
2018-06-29,8415,True,True,UNCHANGED
2018-06-29,8422,True,True,UNCHANGED
2018-06-29,8916,True,True,UNCHANGED
2018-06-29,8942,True,True,UNCHANGED
2018-07-31,1109,True,True,UNCHANGED
2018-07-31,1301,True,True,UNCHANGED
2018-07-31,1303,True,True,UNCHANGED
2018-07-31,1326,True,True,UNCHANGED
2018-07-31,1409,True,True,UNCHANGED
2018-07-31,1537,True,True,UNCHANGED
2018-07-31,1605,True,True,UNCHANGED
2018-07-31,1718,True,True,UNCHANGED
