factor,dir,mode,adv,sharpe,cagr,months
momentum,低,top20%,2000萬,0.07792069361537458,3.0517412068607364,256
momentum,低,top10%,2000萬,0.09271087888652088,3.6273797343279846,256
momentum,低,top5%,2000萬,0.09908207407848661,4.015892939853449,256
momentum,低,N=25,2000萬,0.08351349931570955,3.5360069510421033,256
momentum,低,N=15,2000萬,0.06549260580249604,3.109882612638093,256
momentum,低,N=8,2000萬,-0.030019738588654275,-0.014139794327050481,256
mom60,高,top20%,2000萬,0.3303026480634561,9.85110689895996,256
mom60,高,top10%,2000萬,0.2614804950839016,8.643622221446034,256
mom60,高,top5%,2000萬,0.2821488554334049,10.1958962723822,256
mom60,高,N=25,2000萬,0.23794237732003057,8.853834012196193,256
mom60,高,N=15,2000萬,0.26377495629763414,10.743997213033829,256
mom60,高,N=8,2000萬,0.26240641280620397,12.700019691409237,256
mom60,低,top20%,2000萬,-0.03428490176473019,0.0785000700425087,256
mom60,低,top10%,2000萬,-0.029890482363133616,0.12744984869783593,256
mom60,低,top5%,2000萬,-0.023158302670605917,0.2527368999646784,256
mom60,低,N=25,2000萬,-0.05030594053036813,-0.5824988335974224,256
mom60,低,N=15,2000萬,-0.022642170934770233,0.2324002191876673,256
mom60,低,N=8,2000萬,-0.04906563903697439,-0.7798204436752276,256
mom120,高,top20%,2000萬,0.425943051097945,12.841832020134692,256
mom120,高,top10%,2000萬,0.3826267341439843,12.923404359839852,256
mom120,高,top5%,2000萬,0.3732171001052186,14.039012324945709,256
mom120,高,N=25,2000萬,0.3775499883533388,14.25523674489697,256
mom120,高,N=15,2000萬,0.3049530930743556,13.034663936629464,256
mom120,高,N=8,2000萬,0.13127829928483747,7.476171702182133,256
mom120,低,top20%,2000萬,-0.08272677382088715,-1.1874396998334813,256
mom120,低,top10%,2000萬,-0.17717579144438192,-4.104155869457571,256
mom120,低,top5%,2000萬,-0.22356872254899013,-6.06208491087743,256
mom120,低,N=25,2000萬,-0.22288056956649882,-5.856443865065108,256
mom120,低,N=15,2000萬,-0.2468946898594714,-7.119069696541336,256
mom120,低,N=8,2000萬,-0.2347563398127418,-7.3012043029645035,256
chip,高,top20%,2000萬,0.21723937784612288,5.594693364764747,256
chip,高,top10%,2000萬,0.20445296301596574,5.020019389672248,256
chip,高,top5%,2000萬,0.19391982820590017,4.742914895791417,256
chip,高,N=25,2000萬,0.17160011724030302,4.27721899645046,256
chip,高,N=15,2000萬,0.19669353835487494,4.679427739289799,256
chip,高,N=8,2000萬,0.08085221292849766,2.5389522638297635,256
chip,低,top20%,2000萬,0.1628053411673863,4.377127142365467,256
chip,低,top10%,2000萬,0.20611174533061494,5.011658848551703,256
chip,低,top5%,2000萬,0.1742940718162138,4.239456605527914,256
chip,低,N=25,2000萬,0.18505567678890472,4.426833659632301,256
chip,低,N=15,2000萬,0.21629804300477756,4.94131933524018,256
chip,低,N=8,2000萬,0.16864691442309646,4.036915442294831,256
chip5,高,top20%,2000萬,0.10630754895027525,3.2357373535949696,256
chip5,高,top10%,2000萬,0.043998889133222065,1.8453555308236336,256
chip5,高,top5%,2000萬,0.02182400536405415,1.399878162222623,256
chip5,高,N=25,2000萬,-0.008125708479005952,0.8480635350468502,256
chip5,高,N=15,2000萬,-0.09208805118634614,-0.6607206276294519,256
chip5,高,N=8,2000萬,-0.020344925581308633,0.6118500797962279,256
chip5,低,top20%,2000萬,0.21362063527089406,5.636675632095578,256
chip5,低,top10%,2000萬,0.2781515898208895,6.737287499193467,256
